City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ust-nera,64.5667,143.2,22.33,58,11,3.48,RU,1688389792
1,port-aux-francais,-49.35,70.2167,5.01,80,12,12.51,TF,1688389792
2,ust'-ordynskiy,52.805,104.7508,15.65,90,100,2.4,RU,1688389793
3,qianzhou,28.3167,109.7167,28.07,82,100,1.3,CN,1688389793
4,qaqortoq,60.7167,-46.0333,6.18,71,100,2.31,GL,1688389794
5,queenstown,-31.8976,26.8753,20.06,17,0,8.45,ZA,1688389794
6,kruisfontein,-34.0033,24.7314,18.27,54,8,5.68,ZA,1688389794
7,saipan,15.1355,145.701,28.39,100,0,3.09,MP,1688389795
8,nemuro,43.3236,145.575,14.05,99,100,2.1,JP,1688389795
9,punta arenas,-53.15,-70.9167,2.06,87,75,3.6,CL,1688389796
10,luganville,-15.5333,167.1667,23.41,74,100,5.2,VU,1688389796
11,labrador city,52.9463,-66.9114,20.55,67,6,2.21,CA,1688389797
12,kani keli,-12.9536,45.1033,27.59,63,3,6.09,YT,1688389797
13,fort riley north,39.1108,-96.8139,22.78,76,40,1.34,US,1688389798
14,lamia,38.9,22.4333,33.39,41,64,4.02,GR,1688389798
15,sorong,-0.8833,131.25,26.79,84,24,2.0,ID,1688389799
16,alta,69.9689,23.2717,15.59,62,0,4.12,NO,1688389799
17,adamstown,-25.066,-130.1015,20.46,63,5,3.59,PN,1688389800
18,hermanus,-34.4187,19.2345,18.22,79,73,3.77,ZA,1688389800
19,tromso,69.6496,18.957,15.01,36,20,4.63,NO,1688389545
20,grytviken,-54.2811,-36.5092,-4.29,65,100,1.86,GS,1688389801
21,khanu woralaksaburi,16.0617,99.8606,28.2,66,100,5.12,TH,1688389802
22,saint-joseph,-21.3667,55.6167,23.59,69,36,6.9,RE,1688389803
23,yellowknife,62.456,-114.3525,13.13,52,4,5.23,CA,1688389804
24,fort bragg,35.139,-79.006,28.44,83,20,2.57,US,1688389805
25,okhotsk,59.3833,143.3,13.07,87,95,4.37,RU,1688389805
26,lorengau,-2.0226,147.2712,27.95,82,100,4.39,PG,1688389806
27,blackmans bay,-43.0167,147.3167,4.74,92,100,1.07,AU,1688389806
28,tiksi,71.6872,128.8694,3.36,78,100,4.23,RU,1688389807
29,port elizabeth,-33.918,25.5701,19.5,81,71,6.71,ZA,1688389808
30,mando,10.7167,6.5667,32.87,47,87,2.22,NG,1688389808
31,albany,42.6001,-73.9662,23.13,92,100,0.93,US,1688389573
32,bethel,41.3712,-73.414,25.11,82,75,3.09,US,1688389573
33,lebu,-37.6167,-73.65,11.64,84,9,7.18,CL,1688389810
34,praia da vitoria,38.7333,-27.0667,22.09,69,97,3.77,PT,1688389810
35,loncoche,-39.3667,-72.6333,9.3,90,100,3.87,CL,1688389811
36,tambura,5.6,27.4667,31.25,47,67,2.2,SS,1688389811
37,fort st. john,56.2499,-120.8529,10.49,91,100,4.12,CA,1688389812
38,port alfred,-33.5906,26.891,22.77,45,7,5.38,ZA,1688389812
39,happy valley-goose bay,53.3168,-60.3315,22.17,73,75,2.57,CA,1688389813
